FeatureCode,DateCode,Measurement,Units,Value,Distance to Nearest Green or Blue Space,Age,Gender,Urban Rural Classification,SIMD quintiles,Type Of Tenure,Household Type,Ethnicity
S12000048,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,71.3,A 5 minute walk or less,All,All,All,All,All,Adults,All
S12000013,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,1.8,Don't Know,All,All,All,All,All,Pensioners,All
S12000029,2014,Percent,Percent Of Adults,66,A 5 minute walk or less,16-34 years,All,All,All,All,All,All
S12000013,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,3.0,Don't Know,All,All,All,All,All,Adults,All
S12000013,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,3.6,Don't Know,All,Female,All,All,All,All,All
S12000013,2014,Percent,Percent Of Adults,1,Don't Know,All,Male,All,All,All,All,All
S12000013,2014,Percent,Percent Of Adults,1,Don't Know,35-64 years,All,All,All,All,All,All
S12000049,2014,Percent,Percent Of Adults,2,Don't Know,All,All,All,All,All,Adults,All
S12000028,2014,Percent,Percent Of Adults,77,A 5 minute walk or less,All,All,All,All,All,All,All
S12000013,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,Female,All,All,All,All,All
S12000026,2013,Percent,Percent Of Adults,1,Don't Know,All,Male,All,All,All,All,All
S12000020,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,1.4,Don't Know,35-64 years,All,All,All,All,All,All
S12000050,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,81.5,A 5 minute walk or less,16-34 years,All,All,All,All,All,All
S12000027,2017,Percent,Percent Of Adults,86,A 5 minute walk or less,All,All,All,All,All,Adults,All
S12000008,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,Female,All,All,All,All,All
S12000049,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,1.9,Don't Know,All,All,All,All,All,Pensioners,All
S12000020,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,0.7,Don't Know,All,All,All,All,All,All,All
S12000013,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,All,All,All,All,All,All
S12000026,2013,Percent,Percent Of Adults,1,Don't Know,65 years and over,All,All,All,All,All,All
S12000049,2014,Percent,Percent Of Adults,2,Don't Know,All,Female,All,All,All,All,All
S12000005,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,Male,All,All,All,All,All
S12000049,2014,Percent,Percent Of Adults,2,Don't Know,65 years and over,All,All,All,All,All,All
S12000014,2013,Percent,Percent Of Adults,1,Don't Know,All,All,All,All,All,Pensioners,All
S12000036,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.1,Don't Know,All,Male,All,All,All,All,All
S12000036,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,1.1,Don't Know,All,Female,All,All,All,All,All
S12000050,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,52.9,A 5 minute walk or less,All,Female,All,All,All,All,All
S12000028,2014,Percent,Percent Of Adults,72,A 5 minute walk or less,All,All,All,All,All,Pensioners,All
S92000003,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,72.1,A 5 minute walk or less,All,Male,All,All,All,All,All
S12000036,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,1.5,Don't Know,All,Male,All,All,All,All,All
S12000041,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,0,Don't Know,All,Female,All,All,All,All,All
S12000027,2017,Percent,Percent Of Adults,90,A 5 minute walk or less,16-34 years,All,All,All,All,All,All
S12000005,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,Male,All,All,All,All,All
S12000050,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,65.9,A 5 minute walk or less,35-64 years,All,All,All,All,All,All
S12000048,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,59.8,A 5 minute walk or less,All,Female,All,All,All,All,All
S12000014,2013,Percent,Percent Of Adults,3,Don't Know,All,All,All,All,All,Adults,All
S12000036,2018,Percent,Percent Of Adults,0,Don't Know,All,Female,All,All,All,All,All
S12000048,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,47.5,A 5 minute walk or less,65 years and over,All,All,All,All,All,All
S12000036,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,0,Don't Know,All,Female,All,All,All,All,All
S12000035,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,6.6,Don't Know,All,Male,All,All,All,All,All
S12000042,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,2.9,Don't Know,All,Female,All,All,All,All,All
S12000048,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,49.1,A 5 minute walk or less,All,Female,All,All,All,All,All
S12000042,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.6,Don't Know,All,Male,All,All,All,All,All
S12000011,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,65 years and over,All,All,All,All,All,All
S12000050,2013,Percent,Percent Of Adults,1,Don't Know,All,Male,All,All,All,All,All
S12000029,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,62.7,A 5 minute walk or less,All,Female,All,All,All,All,All
S12000014,2014,Percent,Percent Of Adults,1,Don't Know,All,All,All,All,All,Pensioners,All
S12000048,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,76.7,A 5 minute walk or less,65 years and over,All,All,All,All,All,All
S12000042,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,7.7,Don't Know,All,Male,All,All,All,All,All
S12000013,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,0.6,Don't Know,All,All,All,All,All,All,All
S12000048,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,63.4,A 5 minute walk or less,All,All,All,All,All,With Children,All
S12000035,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.6,Don't Know,All,Male,All,All,All,All,All
S12000048,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,66.8,A 5 minute walk or less,All,Male,All,All,All,All,All
S12000013,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,1.2,Don't Know,All,Female,All,All,All,All,All
S12000027,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,97.9,A 5 minute walk or less,16-34 years,All,All,All,All,All,All
S12000020,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,All,All,All,All,All,All
S12000049,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,2.7,Don't Know,All,All,All,All,All,Pensioners,All
S12000049,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,2.8,Don't Know,All,All,All,All,All,Adults,All
S12000020,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,1.4,Don't Know,All,Female,All,All,All,All,All
S12000020,2014,Percent,Percent Of Adults,0,Don't Know,All,All,All,All,All,All,All
S12000026,2013,Percent,Percent Of Adults,1,Don't Know,All,All,All,All,All,All,All
S12000026,2014,Percent,Percent Of Adults,77,A 5 minute walk or less,All,Female,All,All,All,All,All
S12000019,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,1.1,Don't Know,All,All,All,All,All,Adults,All
S12000020,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,All,All,All,All,Adults,All
S12000027,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,79.9,A 5 minute walk or less,16-34 years,All,All,All,All,All,All
S92000003,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,58.4,A 5 minute walk or less,65 years and over,All,All,All,All,All,All
S12000026,2014,Percent,Percent Of Adults,81,A 5 minute walk or less,All,All,All,All,All,Adults,All
S12000020,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,35-64 years,All,All,All,All,All,All
S12000049,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,3.4,Don't Know,16-34 years,All,All,All,All,All,All
S12000019,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,0,Don't Know,All,All,All,All,All,Adults,All
S12000027,2017,Percent,Percent Of Adults,81,A 5 minute walk or less,All,All,All,All,All,Pensioners,All
S12000049,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,0.8,Don't Know,All,All,All,All,All,With Children,All
S92000003,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,62.5,A 5 minute walk or less,65 years and over,All,All,All,All,All,All
S12000027,2017,Percent,Percent Of Adults,80,A 5 minute walk or less,All,Male,All,All,All,All,All
S12000008,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,All,All,All,All,Pensioners,All
S12000008,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,All,All,All,All,All,All
S12000005,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,Female,All,All,All,All,All
S12000049,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,3.0,Don't Know,65 years and over,All,All,All,All,All,All
S12000023,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,49.1,A 5 minute walk or less,All,Female,All,All,All,All,All
S12000049,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.9,Don't Know,All,Female,All,All,All,All,All
S12000049,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,2.4,Don't Know,65 years and over,All,All,All,All,All,All
S12000026,2013,Percent,Percent Of Adults,2,Don't Know,All,All,All,All,All,Adults,All
S12000029,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,68.2,A 5 minute walk or less,All,All,All,All,All,With Children,All
S12000008,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,All,All,All,All,Pensioners,All
S12000023,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,46.5,A 5 minute walk or less,All,All,All,All,All,All,All
S12000014,2013,Percent,Percent Of Adults,1,Don't Know,All,All,All,All,All,All,All
S12000023,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,42.4,A 5 minute walk or less,35-64 years,All,All,All,All,All,All
S12000050,2014,Percent,Percent Of Adults,0,Don't Know,35-64 years,All,All,All,All,All,All
S12000028,2013,Percent,Percent Of Adults,66,A 5 minute walk or less,All,All,All,All,All,With Children,All
S12000014,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,5.6,Don't Know,All,All,All,All,All,Adults,All
S12000011,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,4.2,Don't Know,All,All,All,All,All,Pensioners,All
S12000050,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,52.4,A 5 minute walk or less,All,Male,All,All,All,All,All
S12000014,2013,Percent,Percent Of Adults,1,Don't Know,65 years and over,All,All,All,All,All,All
S12000039,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,1.5,Don't Know,All,Female,All,All,All,All,All
S12000041,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,1.4,Don't Know,All,Male,All,All,All,All,All
S12000011,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,1.9,Don't Know,All,Female,All,All,All,All,All
S12000023,2013,Percent,Percent Of Adults,0,Don't Know,All,Male,All,All,All,All,All
S12000023,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,38.4,A 5 minute walk or less,All,Male,All,All,All,All,All
S12000040,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,0,Don't Know,All,Female,All,All,All,All,All
S12000014,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,Female,All,All,All,All,All
S12000039,2018,Percent,Percent Of Adults,6,Don't Know,All,Female,All,All,All,All,All
S92000003,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,1.7,Don't Know,65 years and over,All,All,All,All,All,All
S12000013,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,All,All,All,All,Adults,All
S12000013,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,All,All,All,All,All,All
S12000023,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,1.1,Don't Know,All,Male,All,All,All,All,All
S12000027,2015,Percent,Percent Of Adults,79,A 5 minute walk or less,35-64 years,All,All,All,All,All,All
S12000027,2015,Percent,Percent Of Adults,79,A 5 minute walk or less,All,All,All,All,All,Adults,All
S12000006,2015,Percent,Percent Of Adults,1,Don't Know,All,All,All,All,All,Pensioners,All
S92000003,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,1.4,Don't Know,All,All,All,All,All,Pensioners,All
S12000023,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,30.1,A 5 minute walk or less,All,All,All,All,All,With Children,All
S12000027,2017,Percent,Percent Of Adults,78,A 5 minute walk or less,All,All,All,All,All,With Children,All
S12000014,2013,Percent,Percent Of Adults,3,Don't Know,All,Male,All,All,All,All,All
S92000003,2013,Percent,Percent Of Adults,62,A 5 minute walk or less,All,All,All,All,All,Pensioners,All
S12000027,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,78.3,A 5 minute walk or less,All,Female,All,All,All,All,All
S12000027,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,75.8,A 5 minute walk or less,65 years and over,All,All,All,All,All,All
S12000029,2014,Percent,Percent Of Adults,66,A 5 minute walk or less,All,All,All,All,All,With Children,All
S12000023,2013,Percent,Percent Of Adults,1,Don't Know,All,All,All,All,All,Pensioners,All
S12000011,2016,Percent,Percent Of Adults,2,Don't Know,All,All,All,All,All,Pensioners,All
S12000045,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,2.1,Don't Know,All,Male,All,All,All,All,All
S12000045,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,0,Don't Know,All,Male,All,All,All,All,All
S12000028,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,86.0,A 5 minute walk or less,All,All,All,All,All,Adults,All
S12000014,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,5.0,Don't Know,All,Male,All,All,All,All,All
S12000042,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,15.5,Don't Know,All,Female,All,All,All,All,All
S12000027,2017,Percent,Percent Of Adults,80,A 5 minute walk or less,65 years and over,All,All,All,All,All,All
S12000014,2013,Percent,Percent Of Adults,2,Don't Know,35-64 years,All,All,All,All,All,All
S12000005,2014,Percent,Percent Of Adults,1,Don't Know,All,All,All,All,All,Adults,All
S12000023,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,64.2,A 5 minute walk or less,All,All,All,All,All,Pensioners,All
S92000003,2017,Percent,Percent Of Adults,58,A 5 minute walk or less,65 years and over,All,All,All,All,All,All
S12000023,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,64.5,A 5 minute walk or less,65 years and over,All,All,All,All,All,All
S12000014,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,10.3,Don't Know,65 years and over,All,All,All,All,All,All
S12000029,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,65.7,A 5 minute walk or less,35-64 years,All,All,All,All,All,All
S12000028,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,81.1,A 5 minute walk or less,All,All,All,All,All,Pensioners,All
S12000005,2014,Percent,Percent Of Adults,0,Don't Know,All,All,All,All,All,All,All
S12000014,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,All,All,All,All,Adults,All
S12000011,2016,Percent,Percent Of Adults,1,Don't Know,All,Female,All,All,All,All,All
S12000045,2018,Percent,Percent Of Adults,5,Don't Know,All,Female,All,All,All,All,All
S12000023,2013,Percent,Percent Of Adults,1,Don't Know,65 years and over,All,All,All,All,All,All
S12000011,2016,Percent,Percent Of Adults,2,Don't Know,65 years and over,All,All,All,All,All,All
S92000003,2013,Percent,Percent Of Adults,66,A 5 minute walk or less,All,Female,All,All,All,All,All
S12000048,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,37.5,A 5 minute walk or less,65 years and over,All,All,All,All,All,All
S12000050,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,Female,All,All,All,All,All
S12000027,2014,Percent,Percent Of Adults,73,A 5 minute walk or less,All,Female,All,All,All,All,All
S92000003,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,1.1,Don't Know,All,Male,All,All,All,All,All
S12000045,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.9,Don't Know,All,Female,All,All,All,All,All
S12000027,2014,Percent,Percent Of Adults,73,A 5 minute walk or less,35-64 years,All,All,All,All,All,All
S12000028,2013,Percent,Percent Of Adults,69,A 5 minute walk or less,All,All,All,All,All,All,All
S92000003,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,2.4,Don't Know,All,All,All,All,All,Pensioners,All
S12000028,2013,Percent,Percent Of Adults,69,A 5 minute walk or less,All,All,All,All,All,Adults,All
S12000050,2014,Percent,Percent Of Adults,0,Don't Know,All,All,All,All,All,Adults,All
S12000014,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,All,All,All,All,All,All
S12000033,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,1.8,Don't Know,All,Female,All,All,All,All,All
S12000050,2014,Percent,Percent Of Adults,0,Don't Know,All,All,All,All,All,All,All
S12000048,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,84.1,A 5 minute walk or less,35-64 years,All,All,All,All,All,All
S12000014,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,All,All,All,All,Adults,All
S12000014,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,Female,All,All,All,All,All
S12000042,2018,Percent,Percent Of Adults,5,Don't Know,All,All,All,All,All,Adults,All
S12000045,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,0,Don't Know,All,All,All,All,All,Adults,All
S12000013,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,Female,All,All,All,All,All
S12000013,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,3.3,Don't Know,65 years and over,All,All,All,All,All,All
S12000045,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,5.6,Don't Know,All,All,All,All,All,Adults,All
S12000013,2013,Percent,Percent Of Adults,1,Don't Know,65 years and over,All,All,All,All,All,All
S92000003,2014,Percent,Percent Of Adults,72,A 5 minute walk or less,All,All,All,All,All,With Children,All
S12000027,2015,Percent,Percent Of Adults,81,A 5 minute walk or less,All,Male,All,All,All,All,All
S12000048,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,69.9,A 5 minute walk or less,All,All,All,All,All,All,All
S12000011,2015,Percent,Percent Of Adults,1,Don't Know,All,All,All,All,All,Pensioners,All
S12000033,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,0,Don't Know,All,Female,All,All,All,All,All
S12000048,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,78.6,A 5 minute walk or less,All,All,All,All,All,All,All
S12000011,2015,Percent,Percent Of Adults,1,Don't Know,65 years and over,All,All,All,All,All,All
S12000027,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,81.4,A 5 minute walk or less,All,All,All,All,All,Adults,All
S12000050,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,50.3,A 5 minute walk or less,35-64 years,All,All,All,All,All,All
S12000011,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,2.6,Don't Know,All,All,All,All,All,Pensioners,All
S12000048,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,83.8,A 5 minute walk or less,All,All,All,All,All,Adults,All
S12000014,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,16-34 years,All,All,All,All,All,All
S12000011,2015,Percent,Percent Of Adults,0,Don't Know,All,Female,All,All,All,All,All
S12000026,2016,Percent,Percent Of Adults,77,A 5 minute walk or less,65 years and over,All,All,All,All,All,All
S12000021,2017,Percent,Percent Of Adults,1,Don't Know,All,Male,All,All,All,All,All
S12000023,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,42.4,A 5 minute walk or less,All,All,All,All,All,Pensioners,All
S12000026,2017,Percent,Percent Of Adults,1,Don't Know,All,All,All,All,All,All,All
S12000042,2018,Percent,Percent Of Adults,1,Don't Know,All,All,All,All,All,With Children,All
S12000048,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,69.2,A 5 minute walk or less,All,All,All,All,All,Pensioners,All
S12000027,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,78.2,A 5 minute walk or less,All,All,All,All,All,Pensioners,All
S12000029,2014,Percent,Percent Of Adults,63,A 5 minute walk or less,65 years and over,All,All,All,All,All,All
S12000013,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,2.7,Don't Know,All,All,All,All,All,All,All
S12000023,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,1.7,Don't Know,All,All,All,All,All,Pensioners,All
S12000013,2013,Percent,Percent Of Adults,1,Don't Know,All,Male,All,All,All,All,All
S12000013,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,3.3,Don't Know,All,Male,All,All,All,All,All
S12000048,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,69.6,A 5 minute walk or less,65 years and over,All,All,All,All,All,All
S12000011,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,Female,All,All,All,All,All
S12000021,2017,Percent,Percent Of Adults,1,Don't Know,All,All,All,All,All,Adults,All
S12000045,2018,Percent,Percent Of Adults,3,Don't Know,All,All,All,All,All,Adults,All
S12000013,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,All,All,All,All,Adults,All
S12000013,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,35-64 years,All,All,All,All,All,All
S92000003,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,1.1,Don't Know,All,Female,All,All,All,All,All
S12000013,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,2.6,Don't Know,All,Male,All,All,All,All,All
S12000011,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,All,All,All,All,Pensioners,All
S12000047,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,82.0,A 5 minute walk or less,All,All,All,All,All,All,All
S12000013,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,Male,All,All,All,All,All
S92000003,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,1.9,Don't Know,16-34 years,All,All,All,All,All,All
S12000013,2013,Percent,Percent Of Adults,1,Don't Know,All,All,All,All,All,Pensioners,All
S12000013,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,3.3,Don't Know,All,Female,All,All,All,All,All
S12000047,2015,Percent,Percent Of Adults,78,A 5 minute walk or less,All,All,All,All,All,With Children,All
